"symbol","nameEN","ALPHA","MKT","SMB","HML","RMW","CMA","R2adj"
"BRRGIF","BURIRAM SUGAR GROUP POWER PLANT INFRASTRUCTURE FUND","-0.00081","0.28706","0.09652","0.07427","0.01249","-0.0767","0.07631"
"BSBM","BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED","-0.00019","0.9865","0.98037","0.21204","-0.21184","0.19335","0.13979"
"BSM","BUILDERSMART PUBLIC COMPANY LIMITED","0.00029","1.06028","1.1352","0.03182","-0.2579","0.37941","0.06613"
"BTG","BETAGRO PUBLIC COMPANY LIMITED","-0.00132","1.30869","1.22477","0.61664","-0.20244","-0.09135","0.17945"
"BTNC","BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED","0.00126","0.05094","0.08012","0.29096","-0.16332","0.03981","0.00017"
"BTS","BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED","-4e-05","0.87842","-0.06706","-0.2393","-0.25587","-0.17116","0.36575"
"BTSGIF","BTS RAIL MASS TRANSIT GROWTH INFRASTRUCTURE FUND","-0.00116","0.58271","0.36432","-0.06612","0.57441","0.61086","0.16552"
"BTW","BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED","-0.00132","1.24737","1.35873","0.21964","-0.19512","-0.00928","0.13552"
"BUI","BANGKOK UNION INSURANCE PUBLIC COMPANY LIMITED","0.00048","0.18138","0.26054","0.05053","-0.00601","0.11142","0.00276"
"BVG","BlueVenture Group Public Company Limited","0.00096","2.23519","1.80007","-0.3878","-1.15098","0.13691","0.22299"
"BWG","BETTER WORLD GREEN PUBLIC COMPANY LIMITED","0.00024","1.61291","1.47635","0.17423","-0.35925","-0.17994","0.188"
"BYD","BEYOND SECURITIES PUBLIC COMPANY LIMITED","0.00089","1.27115","1.44678","-0.00282","-0.37799","0.00186","0.06626"
"CAZ","CAZ (THAILAND) PUBLIC COMPANY LIMITED","5e-05","1.24839","1.43716","0.14224","-0.08595","0.18922","0.11254"
"CBG","CARABAO GROUP PUBLIC COMPANY LIMITED","7e-04","1.27472","0.49672","-0.53192","0.11134","-0.29357","0.23891"
"CCET","CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.","-0.00014","0.85426","0.88031","0.06288","0.01107","0.24824","0.11887"
"CCP","CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED","-0.00054","1.37225","1.32796","0.34799","-0.11109","0.0164","0.18834"
"CEN","CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED","-6e-05","1.0833","1.01893","0.17052","-0.11349","0.37004","0.10246"
"CENTEL","CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED","0.00019","1.3046","0.17818","-0.13665","-0.20501","-0.11054","0.27406"
"CEYE","Chamni's Eye Public Company Limited","0.00048","1.27922","1.78065","0.16738","0.53369","0.19805","0.13533"
"CFRESH","SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED","-0.00034","0.96692","1.19273","0.32206","0.0827","0.01142","0.09306"
"CGD","COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED","-0.00039","0.93792","0.73955","0.08697","-0.34203","-0.11421","0.10225"
"CGH","COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED","-9e-05","0.99017","0.87443","-0.00132","-0.31334","0.13386","0.1137"
"CH","Chin Huay Public Company Limited","-0.0015","1.87565","1.49158","-0.10609","0.74673","1.19295","0.17893"
"CHARAN","CHARAN INSURANCE PUBLIC COMPANY LIMITED","0.00027","0.35316","0.23162","-0.2589","-0.10642","0.0755","0.01743"
"CHASE","Chase Asia Public Company Limited","0.00153","2.3175","2.85908","0.14236","-0.397","-0.28189","0.18136"
"CHAYO","CHAYO GROUP PUBLIC COMPANY LIMITED","0.00146","1.66987","1.72065","-0.12727","0.38266","-0.27281","0.24405"
"CHEWA","CHEWATHAI PUBLIC COMPANY LIMITED","-0.00061","1.2217","1.19574","0.17181","-0.08034","0.18877","0.16469"
"CHG","CHULARAT HOSPITAL PUBLIC COMPANY LIMITED","0.00056","0.75108","0.23462","-0.2012","0.09514","-0.07246","0.12603"
"CHIC","CHIC REPUBLIC PUBLIC COMPANY LIMITED","-0.00035","1.02894","1.31412","0.83751","0.1897","0.11067","0.07712"
"CHO","CHO THAVEE PUBLIC COMPANY LIMITED","-0.00073","1.2071","1.36987","0.00231","-0.27758","0.24317","0.10136"
"CHOTI","KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC CO., LTD.","-0.00012","0.25976","0.25221","0.15697","-0.06172","-0.05271","0.01429"
"CHOW","CHOW STEEL INDUSTRIES PUBLIC COMPANY LIMITED","0.00042","1.0835","1.1875","0.20529","-0.33773","-0.04254","0.06849"
"CI","CHARN ISSARA DEVELOPMENT PUBLIC COMPANY LIMITED","-0.00038","1.14566","1.04972","0.28651","-0.24488","0.0453","0.15237"
"CIG","C.I.GROUP PUBLIC COMPANY LIMITED","-0.00017","1.02085","1.04808","0.20305","-0.0375","0.16715","0.06314"
"CIMBT","CIMB THAI BANK PUBLIC COMPANY LIMITED","-0.00037","0.82761","0.42938","0.12159","-0.30707","0.04001","0.11228"
"CITY","CITY STEEL PUBLIC COMPANY LIMITED","-0.00017","0.69406","0.52219","0.25306","-0.04632","0.02065","0.09359"
"CIVIL","CIVIL ENGINEERING PUBLIC COMPANY LIMITED","-0.00052","0.82305","0.97186","0.08108","-0.49569","-0.45145","0.09626"
"CK","CH. KARNCHANG PUBLIC COMPANY LIMITED","6e-05","1.18967","0.32727","0.0573","-0.30994","-0.19569","0.32041"
"CKP","CK POWER PUBLIC COMPANY LIMITED","0.00013","1.24516","0.61969","-0.05566","-0.1047","-0.06736","0.24473"
"CM","CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED","-0.00024","0.62354","0.69047","0.1213","0.12473","-0.04811","0.08538"
"CMAN","CHEMEMAN PUBLIC COMPANY LIMITED","-0.00025","1.01342","0.80344","0.11245","-0.2255","-0.0259","0.11438"
"CMC","CHAOPRAYAMAHANAKORN PUBLIC COMPANY LIMITED","-0.00036","1.19542","0.87604","0.36824","-0.01149","-0.08729","0.19122"
"CMO","CMO PUBLIC COMPANY LIMITED","0.00026","1.13447","1.09527","0.09354","-0.07095","0.14729","0.07692"
"CMR","CHIANG MAI RAM MEDICAL BUSINESS PUBLIC COMPANY LIMITED","4e-04","0.65347","0.64374","-0.03445","0.28223","-0.09879","0.07478"
"CNT","CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED","-0.00071","1.16804","0.90464","0.18701","0.05981","0.11265","0.17204"
